osm_id,osm_type,name,category,subcategory,latitude,longitude,alamat,phone,website,opening_hours,cuisine,brand,is_minimarket_brand,tipe_fasilitas,name_lower
5535402821,node,Circle K,shop,convenience,-6.187184,106.8207475,"Jalan KH. Wahid Hasyim No.135, 10240",,,24/7,,Circle K,True,minimarket,circle k
5676074621,node,Alfamart,shop,convenience,-6.1595413,106.8106405,Jalan Tanah Sereal,,,Mo-Su 07:00-10:00,,Alfamart,True,minimarket,alfamart
5806828855,node,FamilyMart,shop,convenience,-6.2074258,106.7969792,,,,,,FamilyMart,False,minimarket,familymart
5830902685,node,Alfamart,shop,convenience,-6.1742296,106.7881061,,,,,,Alfamart,True,minimarket,alfamart
5841730985,node,Indomaret,shop,convenience,-6.1344893,106.8309218,,,,,,Indomaret,True,minimarket,indomaret
5841755185,node,Indomaret,shop,convenience,-6.1472746,106.8367277,,,,,,Indomaret,True,minimarket,indomaret
5848289485,node,Indomaret,shop,convenience,-6.1925786,106.8188792,,,,,,Indomaret,True,minimarket,indomaret
5857640989,node,Indomaret,shop,convenience,-6.1668892,106.7865256,Jalan Daan Mogot No.19e,,,24/7,,Indomaret,True,minimarket,indomaret
5865520988,node,FoodHall,shop,supermarket,-6.2248899,106.7989928,,,,Mo-Su 10:00-22:00,,,False,minimarket,foodhall
5892367832,node,HERO,shop,supermarket,-6.1774015,106.7932664,,,,Mo-Su 10:00-22:00,,,True,minimarket,hero
5892373114,node,Indomaret,shop,convenience,-6.2177649,106.8196057,Jalan Prof. Dr. Satrio,,,Mo-Su 07:00-22:00,,Indomaret,True,minimarket,indomaret
5892882188,node,Indomaret,shop,convenience,-6.2383401,106.8473305,,,,,,Indomaret,True,minimarket,indomaret
5893874786,node,Matahari,shop,department_store,-6.179618,106.7927033,,,,Mo-Su 10:00-22:00,,,False,minimarket,matahari
5895722485,node,Hero Supermarket,shop,supermarket,-6.1685711,106.7862393,,,,Mo-Su 10:00-22:00,,Hero Supermarket,True,minimarket,hero supermarket
5899193420,node,Indomaret,shop,convenience,-6.1751083,106.7886581,,,,24/7,,Indomaret,True,minimarket,indomaret
5899193421,node,Daily Mart,shop,convenience,-6.1751087,106.7888052,,,,,,,False,minimarket,daily mart
5899193422,node,Alfamart,shop,convenience,-6.1763092,106.7897928,,,,,,Alfamart,True,minimarket,alfamart
5903277386,node,Indomaret,shop,convenience,-6.1969143,106.804662,,,https://indomaret.co.id/,Mo-Su 07:00-22:00,,Indomaret,True,minimarket,indomaret
5904682785,node,Indomaret,shop,convenience,-6.2475404,106.7631838,Jalan Ulujami Raya,,,,,Indomaret,True,minimarket,indomaret
5910875786,node,Matahari,shop,department_store,-6.168137,106.7865916,,,,Mo-Su 10:00-22:00,,Matahari,False,minimarket,matahari
5919920885,node,Alfamidi,shop,convenience,-6.1893255,106.7879081,Jalan Kemanggisan Utama,,,,,Alfamidi,True,minimarket,alfamidi
5919925585,node,Alfamart,shop,convenience,-6.1927437,106.7850307,,,,,,Alfamart,True,minimarket,alfamart
5919925586,node,Alfamart,shop,convenience,-6.1721378,106.7764979,,,https://alfamartku.com/,,,Alfamart,True,minimarket,alfamart
5923948185,node,Alfamart,shop,convenience,-6.2085579,106.7888558,,,https://alfamartku.com/,,,Alfamart,True,minimarket,alfamart
5923950985,node,Indomaret,shop,convenience,-6.2072126,106.7963385,,,https://indomaret.co.id/,,,Indomaret,True,minimarket,indomaret
5936691731,node,Alfamart,shop,supermarket,-6.2012816,106.7827417,,+62 812-9466-3033,https://alfamartku.com/,24/7,,Alfamart,True,minimarket,alfamart
5947179583,node,Galleries Lafayette,shop,department_store,-6.2248213,106.8092984,,,,Mo-Su 10:00-22:00,,,False,minimarket,galleries lafayette
5969154849,node,Indomaret,shop,convenience,-6.1771976,106.7896818,"Jalan Podomoro Avenue, 11470",+62 21 029-206-398,,24/7,,Indomaret,True,minimarket,indomaret
